_id,site_id,tree_subj,main_subj_ids,hadith_ids,url
e1afd88a3531bce41c689d0dabd826be,31635,معاذ رديف الرسول على الرحل,[],['bukhari-00128'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=31635
cbc64565269c7c19f5caa0e499224849,32227,إجابة السائل بأكثر مما سأل,[],"['bukhari-00130', 'bukhari-05959', 'bukhari-00134', 'bukhari-03485', 'bukhari-05468', 'bukhari-00359', 'bukhari-01468', 'bukhari-05047', 'bukhari-03150', 'bukhari-02945', 'bukhari-05815', 'bukhari-05819', 'bukhari-05466', 'bukhari-05046', 'bukhari-05740', 'bukhari-01741', 'bukhari-01745']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32227
977e72c5d2b723444b320e95d64f8528,19528,حكم الحياء,[],"['bukhari-04828', 'bukhari-00130', 'bukhari-03150', 'bukhari-05770', 'bukhari-00278', 'bukhari-05772', 'bukhari-05740']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=19528
9c230ce926da3611d062caf98e27070b,32701,مشابهة الولد والديه,[],"['bukhari-00130', 'bukhari-05010', 'bukhari-04468', 'bukhari-06874', 'bukhari-05004', 'bukhari-03151', 'bukhari-05003', 'bukhari-04210', 'bukhari-06464', 'bukhari-03150', 'bukhari-06462', 'bukhari-05740']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32701
0fac24eebb38efc949649bf1de597551,32221,الإنابة بالسؤال,[],"['bukhari-01767', 'bukhari-04959', 'bukhari-00176', 'bukhari-04468', 'bukhari-01397', 'bukhari-04488', 'bukhari-06874', 'bukhari-06877', 'bukhari-00266', 'bukhari-04112', 'bukhari-05002', 'bukhari-00132', 'bukhari-03894', 'bukhari-01176']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32221
47b5cf938f3e4c41133660cecb9dd7c7,559,نجاسة المذي,[],"['bukhari-00266', 'bukhari-00132', 'bukhari-00176']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=559
7b8fc30aee158459b93dd31939298e10,80,ما خرج من السبيلين,[],"['bukhari-00176', 'bukhari-05957', 'bukhari-00132', 'bukhari-00200', 'bukhari-00356', 'bukhari-04895', 'bukhari-00266', 'bukhari-00139', 'bukhari-03471', 'bukhari-01588', 'bukhari-00222', 'bukhari-01586', 'bukhari-00174', 'bukhari-01584', 'bukhari-00380', 'bukhari-03057', 'bukhari-06554', 'bukhari-00135']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=80
66f773fdd94f6ddc92c716eff728fc26,3434,لبس المخيط للرجل المحرم,[],"['bukhari-00134', 'bukhari-01744', 'bukhari-01746', 'bukhari-00359', 'bukhari-01468', 'bukhari-05468', 'bukhari-01750', 'bukhari-05469', 'bukhari-01470', 'bukhari-05466', 'bukhari-05458', 'bukhari-01741', 'bukhari-01745']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3434
1ed3f0c9fe5c9b9b1ccdd58dffa56c07,3440,استعمال المحرم الطيب,[],"['bukhari-05468', 'bukhari-05466', 'bukhari-05578', 'bukhari-00268', 'bukhari-04700', 'bukhari-00359', 'bukhari-01465', 'bukhari-01750', 'bukhari-01208', 'bukhari-00264', 'bukhari-01751', 'bukhari-00134', 'bukhari-05514', 'bukhari-05574', 'bukhari-01464', 'bukhari-01753', 'bukhari-01745', 'bukhari-01741', 'bukhari-04074', 'bukhari-05586', 'bukhari-01697', 'bukhari-05469', 'bukhari-01468', 'bukhari-01752', 'bukhari-01479', 'bukhari-01206', 'bukhari-01470', 'bukhari-00267', 'bukhari-01667', 'bukhari-01207', 'bukhari-05509', 'bukhari-01209']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3440
9513f4e41a7699c3a0bc119a4f181b5b,3479,لبس المحرم الثياب المصبغة,[],"['bukhari-04074', 'bukhari-00134', 'bukhari-01697', 'bukhari-00359', 'bukhari-01468', 'bukhari-04700', 'bukhari-05468', 'bukhari-05469', 'bukhari-05514', 'bukhari-01470', 'bukhari-05466', 'bukhari-05509', 'bukhari-01741', 'bukhari-01745']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3479
